Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
60,ALB,2014,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
61,ALB,2015,MSW,77,.,.,31,35,.,2,.,2,.,.,.,.,.,.,3,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
62,ALB,2015,MSM,29,.,.,4,20,.,1,.,1,.,.,.,.,.,1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
63,ALB,2015,MSMW,8,.,.,1,5,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,ALB,2015,Oth/Unk/Missing,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
65,ALB,2016,MSW,100,.,.,42,40,.,4,.,.,3,.,.,.,.,1,6,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
66,ALB,2016,MSM,29,.,.,1,6,.,3,.,5,7,.,.,.,.,.,6,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
67,ALB,2016,MSMW,11,.,.,1,3,.,.,.,2,1,.,.,.,.,2,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
68,ALB,2017,MSW,95,1,.,26,45,.,10,.,1,3,.,.,.,.,.,8,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
69,ALB,2017,MSM,32,1,.,1,8,.,1,.,1,.,.,.,.,.,2,13,1,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
70,ALB,2017,MSMW,8,.,.,3,1,.,1,.,1,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
71,ALB,2017,Oth/Unk/Missing,2,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
72,ALB,2018,MSW,141,3,.,27,69,.,27,.,1,1,.,.,.,.,1,2,.,1,7,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
73,ALB,2018,MSM,29,.,.,1,11,.,6,.,.,1,1,.,.,.,.,7,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
74,ALB,2018,MSMW,8,.,.,1,4,.,1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
75,ALB,2018,Oth/Unk/Missing,7,.,.,1,4,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
76,ALB,2019,MSW,79,.,2,10,33,.,10,.,1,.,.,.,1,.,5,6,1,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
77,ALB,2019,MSM,29,.,.,.,9,.,5,.,.,1,.,.,1,.,.,5,6,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
78,ALB,2019,MSMW,11,.,.,1,6,.,3,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
79,ANC,2000,MSW,23,.,.,5,13,.,1,.,.,2,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
80,ANC,2000,MSM,5,.,.,1,3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
81,ANC,2000,MSMW,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
82,ANC,2001,MSW,50,4,1,17,17,.,5,.,1,4,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
83,ANC,2001,MSM,3,.,.,1,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
84,ANC,2002,MSW,24,.,1,12,8,.,1,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
85,ANC,2002,MSM,3,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
86,ANC,2003,MSW,25,7,.,16,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
87,ANC,2018,MSW,16,.,.,3,5,.,.,.,.,.,.,.,.,.,.,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
88,ANC,2018,Oth/Unk/Missing,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
89,ANC,2019,MSW,53,.,.,.,26,.,1,.,.,.,.,.,.,.,.,15,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
90,ANC,2019,MSM,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
91,ANC,2019,MSMW,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92,ANC,2019,Oth/Unk/Missing,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
93,ATL,2000,MSW,246,7,16,45,114,2,30,.,6,21,.,.,1,.,.,.,.,.,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94,ATL,2000,MSM,11,1,.,2,5,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95,ATL,2000,MSMW,6,.,.,1,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,ATL,2000,Oth/Unk/Missing,3,1,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
97,ATL,2001,MSW,180,12,9,31,96,.,6,.,3,19,.,.,2,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
98,ATL,2001,MSM,11,.,1,.,8,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
99,ATL,2001,MSMW,6,.,.,.,3,.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100,ATL,2001,Oth/Unk/Missing,4,.,.,.,2,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101,ATL,2002,MSW,216,12,9,34,123,3,17,.,2,14,.,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102,ATL,2002,MSM,15,1,1,3,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
103,ATL,2002,MSMW,8,.,.,2,4,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104,ATL,2002,Oth/Unk/Missing,9,.,.,1,5,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
105,ATL,2003,MSW,215,13,11,43,107,2,25,.,.,6,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
106,ATL,2003,MSM,11,1,1,1,6,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107,ATL,2003,MSMW,8,2,.,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
108,ATL,2003,Oth/Unk/Missing,19,2,2,1,7,2,3,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109,ATL,2004,MSW,102,7,8,17,55,.,8,.,.,1,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
